trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
238,False,"{'a': 0.5, 'e': 4.991350396669008e-06}",30,0,40.84771021506879,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
239,False,"{'a': 0.5, 'e': 4.7417828768355576e-06}",25,0,27.196632064046053,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
240,False,"{'a': 0.5, 'e': 4.50469373299378e-06}",20,0,23.137744950592534,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
241,False,"{'a': 0.5, 'e': 4.27945904634409e-06}",25,0,25.685507720914455,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
242,False,"{'a': 0.5, 'e': 4.065486094026886e-06}",20,0,28.279897062149914,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
243,False,"{'a': 0.5, 'e': 3.862211789325541e-06}",20,2,27.66389910884415,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
244,False,"{'a': 0.5, 'e': 3.6691011998592636e-06}",20,0,24.85368433955606,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
245,False,"{'a': 0.5, 'e': 3.4856461398663003e-06}",20,0,20.242299129924564,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
246,False,"{'a': 0.5, 'e': 3.3113638328729855e-06}",20,14,10.772789406374802,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
247,False,"{'a': 0.5, 'e': 3.145795641229336e-06}",25,9,26.665434353233277,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
248,False,"{'a': 0.5, 'e': 2.988505859167869e-06}",25,0,36.11603431377279,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
249,False,"{'a': 0.5, 'e': 2.839080566209475e-06}",25,0,32.36176357431829,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
250,False,"{'a': 0.5, 'e': 2.6971265378990014e-06}",25,20,7.849054913110867,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
251,False,"{'a': 0.5, 'e': 2.5622702110040514e-06}",25,0,33.22194391524208,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
252,False,"{'a': 0.5, 'e': 2.4341567004538487e-06}",25,9,21.16172078282732,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
253,False,"{'a': 0.5, 'e': 2.312448865431156e-06}",30,0,40.92966871683693,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",1
254,False,"{'a': 0.5, 'e': 2.196826422159598e-06}",20,0,25.499703821004516,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
255,False,"{'a': 0.5, 'e': 2.0869851010516183e-06}",35,0,16.594735907932137,"{0: 34, 1: 0, 2: 0, 3: 1, 4: 0}",0
256,False,"{'a': 0.5, 'e': 1.982635845999037e-06}",20,14,13.38625809033471,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
257,False,"{'a': 0.5, 'e': 1.8835040536990851e-06}",20,0,27.870990996131074,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
258,False,"{'a': 0.5, 'e': 1.789328851014131e-06}",20,2,24.85722379654946,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
259,False,"{'a': 0.5, 'e': 1.6998624084634242e-06}",25,5,26.199382096759578,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
260,False,"{'a': 0.5, 'e': 1.6148692880402529e-06}",30,1,18.789205116410464,"{0: 28, 1: 0, 2: 0, 3: 1, 4: 0}",1
261,False,"{'a': 0.5, 'e': 1.5341258236382402e-06}",35,2,0.017213165507475203,"{0: 32, 1: 0, 2: 0, 3: 0, 4: 1}",1
262,False,"{'a': 0.5, 'e': 1.4574195324563281e-06}",25,0,30.561835599138025,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
263,False,"{'a': 0.5, 'e': 1.3845485558335116e-06}",20,4,24.945309836465714,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
264,False,"{'a': 0.5, 'e': 1.315321128041836e-06}",25,10,20.112996553178448,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
265,False,"{'a': 0.5, 'e': 1.2495550716397441e-06}",20,9,18.26481089104139,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
266,False,"{'a': 0.5, 'e': 1.187077318057757e-06}",25,4,22.928028064639825,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
267,False,"{'a': 0.5, 'e': 1.127723452154869e-06}",20,9,20.732686908828075,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
268,False,"{'a': 0.5, 'e': 1.0713372795471255e-06}",25,0,31.089839672516487,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
269,False,"{'a': 0.5, 'e': 1.0177704155697692e-06}",20,2,27.280184801717795,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
270,False,"{'a': 0.5, 'e': 9.668818947912806e-07}",30,3,35.73701883717323,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
271,False,"{'a': 0.5, 'e': 9.185378000517166e-07}",25,0,34.12352504066503,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
272,False,"{'a': 0.5, 'e': 8.726109100491308e-07}",20,0,26.87927958343126,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
273,False,"{'a': 0.5, 'e': 8.289803645466742e-07}",25,11,21.118404010724653,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
274,False,"{'a': 0.5, 'e': 7.875313463193404e-07}",30,18,21.666659729176757,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
275,False,"{'a': 0.5, 'e': 7.481547790033734e-07}",25,9,25.834726175601006,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
276,False,"{'a': 0.5, 'e': 7.107470400532047e-07}",20,0,27.767844799644692,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
277,False,"{'a': 0.5, 'e': 6.752096880505444e-07}",25,20,7.866367077095817,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
278,False,"{'a': 0.5, 'e': 6.414492036480171e-07}",25,7,21.13812553252318,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
279,False,"{'a': 0.5, 'e': 6.093767434656163e-07}",25,0,36.32179443437727,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
280,False,"{'a': 0.5, 'e': 5.789079062923354e-07}",20,6,20.68062530967273,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
281,False,"{'a': 0.5, 'e': 5.499625109777186e-07}",20,5,17.682801005045622,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
282,False,"{'a': 0.5, 'e': 5.224643854288326e-07}",25,0,39.02175787975322,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
283,False,"{'a': 0.5, 'e': 4.96341166157391e-07}",25,0,37.44936658534585,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
284,False,"{'a': 0.5, 'e': 4.715241078495214e-07}",25,0,24.127787062605513,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
285,False,"{'a': 0.5, 'e': 4.479479024570453e-07}",35,5,19.032053691020135,"{0: 29, 1: 0, 2: 0, 3: 1, 4: 0}",1
