trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1144,False,"{'a': 0.5, 'e': 0.032155932514102606}",25,20,8.457737300797312,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1145,False,"{'a': 0.5, 'e': 0.0320594647165603}",25,18,12.911919281839934,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1146,False,"{'a': 0.5, 'e': 0.03196328632241062}",20,0,-9.558776022340247,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
1147,False,"{'a': 0.5, 'e': 0.03186739646344339}",20,2,30.314781749860416,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
1148,False,"{'a': 0.5, 'e': 0.03177179427405306}",35,18,27.0909793002944,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1149,False,"{'a': 0.5, 'e': 0.031676478891230896}",25,10,28.294221693193954,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1150,False,"{'a': 0.5, 'e': 0.0315814494545572}",25,10,22.37124335577251,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1151,False,"{'a': 0.5, 'e': 0.03148670510619353}",30,13,19.395590861270403,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
1152,False,"{'a': 0.5, 'e': 0.03139224499087495}",25,3,34.081505529663424,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
1153,False,"{'a': 0.5, 'e': 0.031298068255902325}",25,19,11.044402655109,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1154,False,"{'a': 0.5, 'e': 0.03120417405113462}",25,3,-9.11241939570001,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 1}",1
1155,False,"{'a': 0.5, 'e': 0.031110561528981215}",30,14,28.851996419224225,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
1156,False,"{'a': 0.5, 'e': 0.03101722984439427}",20,8,17.57031440653393,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1157,False,"{'a': 0.5, 'e': 0.03092417815486109}",20,6,20.174309595001752,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1158,False,"{'a': 0.5, 'e': 0.030831405620396504}",30,16,24.92160322388909,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1159,False,"{'a': 0.5, 'e': 0.030738911403535314}",20,11,16.836101578362268,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1160,False,"{'a': 0.5, 'e': 0.03064669466932471}",35,13,38.795065254184244,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
1161,False,"{'a': 0.5, 'e': 0.030554754585316736}",20,12,12.160644834834871,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1162,False,"{'a': 0.5, 'e': 0.030463090321560783}",20,11,13.808387510949515,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1163,False,"{'a': 0.5, 'e': 0.0303717010505961}",25,0,41.307322414328254,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
